timestamp,station_id,lat,lon,rainfall_mm
2026-09-07T15:00:00,gauge_01,12.937491,77.620618,0.62
2026-09-07T15:00:00,gauge_02,12.949014,77.649097,0.16
2026-09-07T15:00:00,gauge_03,12.94464,77.644973,0.0
2026-09-07T15:00:00,gauge_04,12.941973,77.62637,0.0
2026-09-07T15:00:00,gauge_05,12.93312,77.625455,2.02
2026-09-07T15:00:00,gauge_06,12.93312,77.625502,1.17
2026-09-07T15:00:00,gauge_07,12.931162,77.629127,0.94
2026-09-07T15:00:00,gauge_08,12.947324,77.635743,0.0
2026-09-07T15:00:00,gauge_09,12.942022,77.632958,0.0
2026-09-07T15:00:00,gauge_10,12.944161,77.628737,0.26
2026-09-07T15:15:00,gauge_01,12.937491,77.620618,11.47
2026-09-07T15:15:00,gauge_02,12.949014,77.649097,0.19
2026-09-07T15:15:00,gauge_03,12.94464,77.644973,0.0
2026-09-07T15:15:00,gauge_04,12.941973,77.62637,6.31
2026-09-07T15:15:00,gauge_05,12.93312,77.625455,14.63
2026-09-07T15:15:00,gauge_06,12.93312,77.625502,15.83
2026-09-07T15:15:00,gauge_07,12.931162,77.629127,11.6
2026-09-07T15:15:00,gauge_08,12.947324,77.635743,0.12
2026-09-07T15:15:00,gauge_09,12.942022,77.632958,3.55
2026-09-07T15:15:00,gauge_10,12.944161,77.628737,3.07
2026-09-07T15:30:00,gauge_01,12.937491,77.620618,21.25
2026-09-07T15:30:00,gauge_02,12.949014,77.649097,0.0
2026-09-07T15:30:00,gauge_03,12.94464,77.644973,0.0
2026-09-07T15:30:00,gauge_04,12.941973,77.62637,16.55
2026-09-07T15:30:00,gauge_05,12.93312,77.625455,28.82
2026-09-07T15:30:00,gauge_06,12.93312,77.625502,28.54
2026-09-07T15:30:00,gauge_07,12.931162,77.629127,24.4
2026-09-07T15:30:00,gauge_08,12.947324,77.635743,2.74
2026-09-07T15:30:00,gauge_09,12.942022,77.632958,9.86
2026-09-07T15:30:00,gauge_10,12.944161,77.628737,10.67
2026-09-07T15:45:00,gauge_01,12.937491,77.620618,21.22
2026-09-07T15:45:00,gauge_02,12.949014,77.649097,0.8
2026-09-07T15:45:00,gauge_03,12.94464,77.644973,2.15
2026-09-07T15:45:00,gauge_04,12.941973,77.62637,23.35
2026-09-07T15:45:00,gauge_05,12.93312,77.625455,31.49
2026-09-07T15:45:00,gauge_06,12.93312,77.625502,31.2
2026-09-07T15:45:00,gauge_07,12.931162,77.629127,29.45
2026-09-07T15:45:00,gauge_08,12.947324,77.635743,7.68
2026-09-07T15:45:00,gauge_09,12.942022,77.632958,21.21
2026-09-07T15:45:00,gauge_10,12.944161,77.628737,19.58
2026-09-07T16:00:00,gauge_01,12.937491,77.620618,14.03
2026-09-07T16:00:00,gauge_02,12.949014,77.649097,0.7
2026-09-07T16:00:00,gauge_03,12.94464,77.644973,4.78
2026-09-07T16:00:00,gauge_04,12.941973,77.62637,24.18
2026-09-07T16:00:00,gauge_05,12.93312,77.625455,22.67
2026-09-07T16:00:00,gauge_06,12.93312,77.625502,22.91
2026-09-07T16:00:00,gauge_07,12.931162,77.629127,23.55
2026-09-07T16:00:00,gauge_08,12.947324,77.635743,11.92
2026-09-07T16:00:00,gauge_09,12.942022,77.632958,27.24
2026-09-07T16:00:00,gauge_10,12.944161,77.628737,22.68
2026-09-07T16:15:00,gauge_01,12.937491,77.620618,6.26
2026-09-07T16:15:00,gauge_02,12.949014,77.649097,2.23
2026-09-07T16:15:00,gauge_03,12.94464,77.644973,7.14
2026-09-07T16:15:00,gauge_04,12.941973,77.62637,14.66
2026-09-07T16:15:00,gauge_05,12.93312,77.625455,11.02
2026-09-07T16:15:00,gauge_06,12.93312,77.625502,11.67
2026-09-07T16:15:00,gauge_07,12.931162,77.629127,12.59
2026-09-07T16:15:00,gauge_08,12.947324,77.635743,14.52
2026-09-07T16:15:00,gauge_09,12.942022,77.632958,21.19
2026-09-07T16:15:00,gauge_10,12.944161,77.628737,16.79
2026-09-07T16:30:00,gauge_01,12.937491,77.620618,1.34
2026-09-07T16:30:00,gauge_02,12.949014,77.649097,1.51
2026-09-07T16:30:00,gauge_03,12.94464,77.644973,5.0
2026-09-07T16:30:00,gauge_04,12.941973,77.62637,3.49
2026-09-07T16:30:00,gauge_05,12.93312,77.625455,2.31
2026-09-07T16:30:00,gauge_06,12.93312,77.625502,2.62
2026-09-07T16:30:00,gauge_07,12.931162,77.629127,3.86
2026-09-07T16:30:00,gauge_08,12.947324,77.635743,6.87
2026-09-07T16:30:00,gauge_09,12.942022,77.632958,8.52
2026-09-07T16:30:00,gauge_10,12.944161,77.628737,5.51
2026-09-07T16:45:00,gauge_01,12.937491,77.620618,2.16
2026-09-07T16:45:00,gauge_02,12.949014,77.649097,10.33
2026-09-07T16:45:00,gauge_03,12.94464,77.644973,22.18
2026-09-07T16:45:00,gauge_04,12.941973,77.62637,8.77
